Question,Answer
"다음 중 정보의 비밀을 나타내는 것은 무엇입니까?\n1. 가용성\n2. 인증\n3. 성실성\n4. 기밀성","답변: 4"
"어떤 유형의 인증은 당신이 아는 것, 당신이 가진 것, 당신이있는 것과 같은 여러 가지 요소를 사용합니까?\n1. 이중 인증 인증\n2. 단일 요소 인증\n3. 다중 인증 인증\n4. 검증 인증","답변: 3"
"발가락은 무엇을 의미합니까?\n1. 평가 목표\n2. 평가 시간\n3. 평가 유형\n4. 평가 용어","답변: 1"
"시스템이 리소스에 대한 액세스를 요청하는 사용자가 실제로 자신이 주장하는 사람인지 확인하는 방법은 무엇입니까?\n1. 식별\n2. 검증\n3. 승인\n4. 인증","답변: 4"
"기밀성, 무결성 및 데이터 및 자산의 가용성에 대한 확인 및 보증을 포함하여 정보 보안 측정을 말하는 용어는 무엇입니까?\n1. 정보 보안\n2. 정보 보증\n3. 사이버 보안\n4. 위험 관리","답변: 2"
"데이터 자산 및 정보 자원이 필요할 때 사용할 수 있어야하는 보호는 무엇입니까?\n1. 가용성\n2. 무결성\n3. 비 반복\n4. 인증","답변: 1"
"공인 된 사람이나 자원 만 정보 자원에 액세스 할 수 있도록 보장하는 보안 관리의 주요 범주는 무엇입니까?\n1. 보안 거버넌스\n2. 위험 관리\n3. 액세스 제어\n4. 정보 보증","답변: 3"
"인증 검증을위한 어떤 유형의 요인에, 당신이 아는 것, 당신이 가진 것, 당신이있는 것이 포함됩니까?\n1. 타입 1\n2. 유형 2\n3. 다중 인자\n4. 타입 3","답변: 3"
"다른 사람의 개인 데이터 처리와 개인이 자신의 데이터에 대해 기대 해야하는 통제 및 동의 수준을 다루는 프로세스는 무엇입니까?\n1. 데이터 관리\n2. 데이터 보호\n3. 데이터 보안\n4. 데이터 개인 정보","답변: 4"
"의도 한 사용자가 정보에 액세스하고 사용할 수있는 속성을 말하는 속성은 무엇입니까?\n1. 진정성\n2. 가용성\n3. 성실성\n4. 비 반복","답변: 2"
"다음 중 어떤 인증 요소가 당신이 아는 것과 관련이 있습니까?\n1. 생체 인식 데이터\n2. 일회성 비밀번호\n3. 사용자 이름\n4. 스마트 카드","답변: 3"
"메시지가 변경되지 않고 믿어 진 소스에서 나오도록 보장하는 원칙은 무엇입니까?\n1. 승인\n2. 진정성\n3. 성실성\n4. 기밀성","답변: 2"
"일반적으로 이메일을 통해 신뢰할 수있는 실체로 자신을 위장함으로써 민감한 정보를 얻는 데 어떤 유형의 공격이 포함됩니까?\n1. 루트 키트\n2. 바이러스\n3. 피싱\n4. 맬웨어","답변: 3"
"조직이 고유 한 상황에 따라 위험을 평가하고 완화하는 데 도움이되는 보안 요소는 무엇입니까?\n1. 준수\n2. 보안 제어\n3. 전문 윤리\n4. 위험 관리","답변: 4"
"위험 관리 프로세스에서 위험 식별의 목적은 무엇입니까?\n1. 보안 관리를 강화하십시오\n2. 자산에 수치 또는 재무 가치를 지정하십시오\n3. 보안 거버넌스를 촉진합니다\n4. 위험을 이해하고 우선 순위를 정하십시오","답변: 4"
"정보 보안에 대한 모범 사례 표준을 개발하고 게시하는 조직은 무엇입니까?\n1. 국제 표준화기구 (ISO)\n2. National Institute of Standards and Technology (NIST)\n3. 국제 전기 기술위원회 (IEC)\n4. 언급 된 각 조직은 정보 보안에 대한 모범 사례 지침 발행을 담당합니다.","답변: 4"
"법률, 규정 및 외부 표준에 따라 조직에 규범 적 지침을 제공하는 요소는 무엇입니까?\n1. 표준\n2. 계획\n3. 준수\n4. 정책","답변: 4"
"어떤 보안 요소가 단계별 워크 플로 또는 작업을 수행 해야하는 방법에 대한 지침을 정의하는 것은 무엇입니까?\n1. 정책\n2. 표준\n3. 절차\n4. 계획","답변: 3"
"무단 액세스를 얻기 위해 소프트웨어 결함을 악용하는 공격 유형은 무엇입니까?\n1. 스크립팅\n2. 트로이 목마\n3. 취약성 별 공격\n4. 웜","답변: 3"
"취약성에 의해 노출 된 보안 위반이 발생할 수있는 잠재력을 설명하는 데 사용되는 용어는 무엇입니까?\n1. 대책\n2. 노출\n3. 위험\n4. 위협","답변: 3"
