Question,Answer
다음 중 정보의 비밀을 나타내는 것은 무엇입니까?\n1. 가용성\n2. 인증\n3. 성실성\n4. 기밀성,"답변: 4, 기밀성"
"어떤 유형의 인증은 당신이 아는 것, 당신이 가진 것, 당신이있는 것과 같은 여러 가지 요소를 사용합니까?\n1. 이중 인증 인증\n2. 단일 요소 인증\n3. 다중 인증 인증\n4. 검증 인증","답변: 3, 다중 인증 인증"
발가락은 무엇을 의미합니까?\n1. 평가 목표\n2. 평가 시간\n3. 평가 유형\n4. 평가 용어,"답변: 1, 평가 목표"
시스템이 리소스에 대한 액세스를 요청하는 사용자가 실제로 자신이 주장하는 사람인지 확인하는 방법은 무엇입니까?\n1. 식별\n2. 검증\n3. 승인\n4. 인증,"답변: 4, 인증"
"기밀성, 무결성 및 데이터 및 자산의 가용성에 대한 확인 및 보증을 포함하여 정보 보안 측정을 말하는 용어는 무엇입니까?\n1. 정보 보안\n2. 정보 보증\n3. 사이버 보안\n4. 위험 관리","답변: 2, 정보 보증"
데이터 자산 및 정보 자원이 필요할 때 사용할 수 있어야하는 보호는 무엇입니까?\n1. 가용성\n2. 무결성\n3. 비 반복\n4. 인증,"답변: 1, 가용성"
공인 된 사람이나 자원 만 정보 자원에 액세스 할 수 있도록 보장하는 보안 관리의 주요 범주는 무엇입니까?\n1. 보안 거버넌스\n2. 위험 관리\n3. 액세스 제어\n4. 정보 보증,"답변: 3, 액세스 제어"
"인증 검증을위한 어떤 유형의 요인에, 당신이 아는 것, 당신이 가진 것, 당신이있는 것이 포함됩니까?\n1. 타입 1\n2. 유형 2\n3. 다중 인자\n4. 타입 3","답변: 3, 다중 인자"
다른 사람의 개인 데이터 처리와 개인이 자신의 데이터에 대해 기대 해야하는 통제 및 동의 수준을 다루는 프로세스는 무엇입니까?\n1. 데이터 관리\n2. 데이터 보호\n3. 데이터 보안\n4. 데이터 개인 정보,"답변: 4, 데이터 개인 정보"
의도 한 사용자가 정보에 액세스하고 사용할 수있는 속성을 말하는 속성은 무엇입니까?\n1. 진정성\n2. 가용성\n3. 성실성\n4. 비 반복,"답변: 2, 가용성"
다음 중 어떤 인증 요소가 당신이 아는 것과 관련이 있습니까?\n1. 생체 인식 데이터\n2. 일회성 비밀번호\n3. 사용자 이름\n4. 스마트 카드,"답변: 3, 사용자 이름"
메시지가 변경되지 않고 믿어 진 소스에서 나오도록 보장하는 원칙은 무엇입니까?\n1. 승인\n2. 진정성\n3. 성실성\n4. 기밀성,"답변: 2, 진정성"
일반적으로 이메일을 통해 신뢰할 수있는 실체로 자신을 위장함으로써 민감한 정보를 얻는 데 어떤 유형의 공격이 포함됩니까?\n1. 루트 키트\n2. 바이러스\n3. 피싱\n4. 맬웨어,"답변: 3, 피싱"
조직이 고유 한 상황에 따라 위험을 평가하고 완화하는 데 도움이되는 보안 요소는 무엇입니까?\n1. 준수\n2. 보안 제어\n3. 전문 윤리\n4. 위험 관리,"답변: 4, 위험 관리"
위험 관리 프로세스에서 위험 식별의 목적은 무엇입니까?\n1. 보안 관리를 강화하십시오\n2. 자산에 수치 또는 재무 가치를 지정하십시오\n3. 보안 거버넌스를 촉진합니다\n4. 위험을 이해하고 우선 순위를 정하십시오,"답변: 4, 위험을 이해하고 우선 순위를 정하십시오"
정보 보안에 대한 모범 사례 표준을 개발하고 게시하는 조직은 무엇입니까?\n1. 국제 표준화기구 (ISO)\n2. National Institute of Standards and Technology (NIST)\n3. 국제 전기 기술위원회 (IEC)\n4. 언급 된 각 조직은 정보 보안에 대한 모범 사례 지침 발행을 담당합니다.,"답변: 4, 언급 된 각 조직은 정보 보안에 대한 모범 사례 지침 발행을 담당합니다."
"법률, 규정 및 외부 표준에 따라 조직에 규범 적 지침을 제공하는 요소는 무엇입니까?\n1. 표준\n2. 계획\n3. 준수\n4. 정책","답변: 4, 정책"
어떤 보안 요소가 단계별 워크 플로 또는 작업을 수행 해야하는 방법에 대한 지침을 정의하는 것은 무엇입니까?\n1. 정책\n2. 표준\n3. 절차\n4. 계획,"답변: 3, 절차"
무단 액세스를 얻기 위해 소프트웨어 결함을 악용하는 공격 유형은 무엇입니까?\n1. 스크립팅\n2. 트로이 목마\n3. 취약성 별 공격\n4. 웜,"답변: 3, 취약성 별 공격"
취약성에 의해 노출 된 보안 위반이 발생할 수있는 잠재력을 설명하는 데 사용되는 용어는 무엇입니까?\n1. 대책\n2. 노출\n3. 위험\n4. 위협,"답변: 3, 위험"
Cyberattacker는 약국의 웹 사이트를 변경하여 Covid 테스트에 대한 잘못된 정보를 표시합니다.이것은 어떤 종류의 타협의 예입니까?\n1. 비 반복\n2. 무결성\n3. 기밀성\n4. 가용성,"답변: 2, 무결성"
사용자의 신원을 검증하는 컴퓨터 시스템의 기능을 _________라고합니다.\n1. 진정성\n2. 인증\n3. 승인\n4. 가용성,"답변: 2, 인증"
"도라는 베드로로부터 전자 메시지를 받았는데, 그로부터 디지털로 서명 한 것이 그에게서 나왔다는 것을 증명했다.그러나 베드로는 결코 그것을 보내지 않았다고 말했다.이것은 어떤 메시지 무결성 특성의 예입니까?\n1. 비 반복\n2. 진정성\n3. 부적합성\n4. 반복","답변: 1, 비 반복"
다음 중 개인 정보에 적용되지 않는 요소는 무엇입니까?\n1. 나열된 옵션이 아닙니다\n2. 가용성\n3. 기밀성\n4. 성실성,"답변: 2, 가용성"
정보 보증은 주로 정보 보안 영역 내에서 무엇에 초점을 맞추는가?\n1. 윤리\n2. 측정\n3. 품질\n4. 기밀성,"답변: 2, 측정"
"사이버 공격자가 조직에 대한 공격을 시작하기 위해 가장 먼저하고 싶은 일은 무엇입니까?\n1. 맬웨어를 배포하십시오.\n2. 도메인 이름, 기업 정보, 시설, 직원 이름 등을 포함한 조직의 비즈니스에 대해 알아보십시오.\n3. 조직의 취약점에 대해 배우십시오.\n4. 데이터를 훔치십시오.","답변: 2, 도메인 이름, 기업 정보, 시설, 직원 이름 등을 포함한 조직의 비즈니스에 대해 알아보십시오."
지진은 ____________의 예입니까?\n1. 위험\n2. 취약성\n3. 위협\n4. 위협 에이전트,"답변: 3, 위협"
다음 중 가장 정확한 진술은 무엇입니까?\n1. 위험을 이전하기보다는 항상 완화하는 것이 가장 좋습니다.\n2. 상황에 관계없이 보안은 같은 방식으로 수행되어야합니다.\n3. 위험 회피는 매번 보안 관리를 능가합니다.\n4. 상황에 따라 보안을 조정해야합니다.,"답변: 4, 상황에 따라 보안을 조정해야합니다."
가장 적절한 보안 제어를 권장하기 위해 정보 시스템의 위험 평가를 수행하라는 요청을받습니다.당신은 이것을 할 시간이 짧습니다.시스템의 각 자산 사용 방법과 비즈니스에 대한 중요성에 대한 정보가 있지만 자산이나 정보 시스템에 대한 재무 정보는 없습니다.이 평가에 사용하기에 가장 적합한 방법은 무엇입니까?\n1. 정량적\n2. 위협 모델링\n3. 질적\n4. 델파이,"답변: 3, 질적"
IT 부서가 IT에 너무 많은 취약점이 있기 때문에 너무 위험하다고 간주되는 환경에서 서버를 제거하는 위험 처리를 구현하라는 요청을받습니다.방금 어떤 유형의 위험 치료를 연습 했습니까?\n1. 위험 회피\n2. 위험 수용\n3. 위험 완화\n4. 위험 전달,"답변: 1, 위험 회피"
보안 엔지니어는 조직의 데이터 센터 보안 제어를 검토하고 있습니다.그들은 데이터 센터가 시설 모니터링을위한 보안 카메라가 부족하다고 기록합니다.이것은 어떤 유형의 제어를 나타 냅니까?\n1. 논리\n2. 행정\n3. 물리적\n4. 기술,"답변: 3, 물리적"
다음 중 보안 제어 유형과 관련하여 다음 중 진술은 무엇입니까?\n1. 관리 제어는 소프트 컨트롤이라고도합니다.\n2. 물리적 제어를 관리 통제라고도합니다.\n3. 논리적 제어를 관리 제어라고도합니다.\n4. 물리적 제어는 논리적 제어라고도합니다.,"답변: 1, 관리 제어는 소프트 컨트롤이라고도합니다."
수석 보안 엔지니어는 모든 보안 엔지니어가 따라야 할 조직의 취약성 스캔 도구를 사용하여 취약성 스캔을 시작하는 방법에 대한 단계별 지침을 제공하는 문서를 작성하고 있습니다.다음 거버넌스 요소 중 어느 것이 예입니다.\n1. 정책\n2. 법\n3. 절차\n4. 지침,"답변: 3, 절차"
정보 보안 정책은 다음 유형의 컨트롤 중 어느 예를 들어?\n1. 물리적\n2. 기술\n3. 논리적\n4. 행정,"답변: 4, 행정"
어떤 종류의 액세스 컨트롤이 리소스의 소유자에게 모든 대상이 객체에 액세스 할 수있는 피험자와 어떤 권한에 액세스 할 수 있습니까?\n1. 역할 기반 액세스 제어 (RBAC)\n2. 액세스 제어 목록 (ACL)\n3. 필수 액세스 제어 (MAC)\n4. 임의의 액세스 제어 (DAC),"답변: 4, 임의의 액세스 제어 (DAC)"
액세스 제어 모델은 피험자의 통관 수준 및 객체의 분류와 같은 보안 레이블을 기반으로 액세스를 규제하는 중앙 기관을 활용하는 것은 무엇입니까?\n1. 역할 기반 액세스 제어 (RBAC)\n2. 임의의 액세스 제어 (DAC)\n3. 필수 액세스 제어 (MAC)\n4. 액세스 제어 매트릭스,"답변: 3, 필수 액세스 제어 (MAC)"
