Question,Answer
"Which of the following refers to the secrecy of information?
1. Availability
2. Authentication
3. Integrity
4. Confidentiality",답변: 4
"Which type of authentication uses multiple factors for verification, such as something you know, something you have, and something you are?
1. Dual-factor authentication
2. Single-factor authentication
3. Multi-factor authentication
4. Verification authentication",답변: 3
"What does TOE stand for?
1. Target of evaluation
2. Time of evaluation
3. Type of evaluation
4. Term of evaluation",답변: 1
"What is the method by which systems verify that a user who is requesting access to a resource really is who they claim to be?
1. Identification
2. Validation
3. Authorization
4. Authentication",답변: 4
"Which term refers to the measure of information security, including the verification and assurance of the confidentiality, integrity, and availability of data and assets?
1. Information Security
2. Information Assurance
3. Cybersecurity
4. Risk Management",답변: 2
"Which protection ensures that data assets and information resources need to be available when they are needed?
1. Availability
2. Integrity
3. Nonrepudiation
4. Authentication",답변: 1
"What is the primary category of security controls that ensure only authorized persons or resources can access an information resource?
1. Security Governance
2. Risk Management
3. Access Control
4. Information Assurance",답변: 3
"Which type of factor for verification of authentication includes something you know, something you have, and something you are?
1. Type 1
2. Type 2
3. Multi-factor
4. Type 3",답변: 3
"What process deals with the handling of someone else’s personal data and the level of control and consent the individual should expect to have over their data?
1. Data Management
2. Data Protection
3. Data Security
4. Data Privacy",답변: 4
"Which property refers to the property that information can be accessed and used by its intended users?
1. Authenticity
2. Availability
3. Integrity
4. Nonrepudiation",답변: 2
"Which of the following authentication factors involves something you know?
1. Biometric data
2. One-time password
3. Username
4. Smart card",답변: 3
"What principle ensures that a message has not been altered and comes from the believed source?
1. Authorization
2. Authenticity
3. Integrity
4. Confidentiality",답변: 2
"What type of attack involves obtaining sensitive information by disguising oneself as a trusted entity, usually via email?
1. Rootkit
2. Virus
3. Phishing
4. Malware",답변: 3
"Which security element helps an organization understand its threats, assess and mitigate risks based on its unique situation?
1. Compliance
2. Security controls
3. Professional ethics
4. Risk management",답변: 4
"What is the purpose of risk identification in the risk management process?
1. Strengthen security controls
2. Assign numerical or financial values to assets
3. Facilitate security governance
4. Understand and prioritize risk",답변: 4
"Which organization develops and publishes best practice standards on information security?
1. International Organization for Standardization (ISO)
2. National Institute of Standards and Technology (NIST)
3. International Electrotechnical Commission (IEC)
4. Each organization mentioned is responsible for issuing best practice guidelines on information security",답변: 4
"Which element provides prescriptive directives to the organization, based on laws, regulations, and external standards?
1. Standards
2. Plans
3. Compliance
4. Policies",답변: 4
"What security element defines step-by-step workflows or instructions for how a task should be accomplished?
1. Policies
2. Standards
3. Procedures
4. Plans",답변: 3
"Which type of attack exploits software defects to gain unauthorized access?
1. Scripting
2. Trojan
3. Vulnerability-specific attacks
4. Worm",답변: 3
"What is the term used to describe the potential that a security breach could occur, exposed by a vulnerability?
1. Countermeasure
2. Exposure
3. Risk
4. Threat",답변: 3
"A cyberattacker changes the website of a pharmacy so it displays incorrect information about COVID testing. This is an example of what kind of compromise?
1. Nonrepudiation
2. Integrity
3. Confidentiality
4. Availability",답변: 2
"The function of a computer system that verifies the identity of a user is called _________.
1. Authenticity
2. Authentication
3. Authorization
4. Availability",답변: 2
"Dora received an electronic message from Peter that was digitally signed proving it came from him. However, Peter said he never sent it. This is an example of what message integrity characteristic?
1. Nonrepudiation
2. Authenticity
3. Nonrefutability
4. Nonreputation",답변: 1
"Which of the following elements does not apply to privacy?
1. Not any of the listed options
2. Availability
3. Confidentiality
4. Integrity",답변: 2
"What does information assurance primarily focus on within the realm of information security?
1. Ethics
2. Measurement
3. Quality
4. Confidentiality",답변: 2
"What is the first thing a cyberattacker would want to do to launch an attack against an organization?
1. Deploy malware.
2. Learn about the organization’s business, including domain names, corporate information, facilities, names of employees, etc.
3. Learn about the organization’s vulnerabilities.
4. Steal data.",답변: 2
"An earthquake is an example of a ____________?
1. Risk
2. Vulnerability
3. Threat
4. Threat agent",답변: 3
"Which of the following statements is most correct?
1. It’s always best to mitigate risks rather than transfer them.
2. Security should be done the same way regardless of the situation.
3. Risk avoidance trumps security controls every time.
4. Security should be tailored based on the situation.",답변: 4
"You are asked to perform a risk assessment of an information system for the purpose of recommending the most appropriate security controls. You have a short amount of time to do this. You have information about how each asset in the system is used and its importance to the business, but you have no financial information about the assets or the information systems. Which is the most appropriate method to use for this assessment?
1. Quantitative
2. Threat modeling
3. Qualitative
4. Delphi",답변: 3
"You are asked to implement a risk treatment in which your IT department is removing a server from the environment that it deems is too risky due to having too many vulnerabilities in it. You have just practiced which type of risk treatment?
1. Risk avoidance
2. Risk acceptance
3. Risk mitigation
4. Risk transfer",답변: 1
"A security engineer is performing a review of an organization’s datacenter security controls. They document that the datacenter lacks security cameras for monitoring the facilities. What type of control does this represent?
1. Logical
2. Administrative
3. Physical
4. Technical",답변: 3
"Which of the following statements is true regarding the types of security controls?
1. Administrative controls are also referred to as soft controls.
2. Physical controls are also referred to as managerial controls.
3. Logical controls are also referred to as managerial controls.
4. Physical controls are also referred to as logical controls.",답변: 1
"The senior security engineer is creating a document that provides step-by-step instructions on how to launch a vulnerability scan utilizing the organization’s vulnerability scanning tool that all security engineers will be required to follow. Which of the following governance elements is this an example of?
1. Policy
2. Law
3. Procedure
4. Guideline",답변: 3
"An information security policy is an example of which of the following types of controls?
1. Physical
2. Technical
3. Logical
4. Administrative",답변: 4
"What kind of access control gives the owner of the resource full control to configure which subjects can access the object and what permissions they have?
1. Role-Based Access Control (RBAC)
2. Access Control List (ACL)
3. Mandatory Access Control (MAC)
4. Discretionary Access Control (DAC)",답변: 4
"Which access control model leverages a central authority that regulates access based on security labels, such as the clearance level of a subject and the classification of the object?
1. Role-Based Access Control (RBAC)
2. Discretionary Access Control (DAC)
3. Mandatory Access Control (MAC)
4. Access Control Matrix",답변: 3
"What access control model enforces access based on roles that define permissions and the level of access provided to any subjects assigned to that role?
1. Role-Based Access Control (RBAC)
2. Access Control List (ACL)
3. Mandatory Access Control (MAC)
4. Discretionary Access Control (DAC)",답변: 1
"Which type of verification factors require the user to know something, such as a password, a PIN, or a lock combination?
1. Type 1
2. Type 3
3. Type 2
4. Type 4",답변: 1
"What type of systems are used to manage user identities and control access to computer and network resources?
1. Role-Based Access Control (RBAC)
2. Discretionary Access Control (DAC)
3. Identity and Access Management
4. Access Control Lists (ACL)",답변: 3
"What is the correct sequence for the identity and access management lifecycle?
1. Revocation, Review, Provisioning
2. Provisioning, Review, Revocation
3. Provisioning, Revocation, Review
4. Review, Provisioning, Revocation",답변: 2
"Which access control mechanism is typically used for entire file directories using access control lists (ACLs)?
1. Role-Based Access Control (RBAC)
2. Mandatory Access Control (MAC)
3. Discretionary Access Control (DAC)
4. Identity and Access Management (IAM)",답변: 3
"What security feature about subjects, objects, and access controls is described as subjects being entities that are capable of accessing an object, usually by first requesting such access?
1. Access Control Concepts
2. Role-Based Access Control (RBAC)
3. Mandatory Access Control (MAC)
4. Discretionary Access Control (DAC)",답변: 1
"What are the common examples of logical access controls?
1. Entering a username and password and a code generated from a mobile phone app to log into your bank's website (multifactor authentication)
2. Entering a username and password to log in to a website
3. All provided answers
4. Using your fingerprint to log into a mobile phone or laptop",답변: 3
"What is the type of verification factor that requires the user to have something with them, such as a handheld token or a smart card?
1. Type 4
2. Type 1
3. Type 3
4. Type 2",답변: 4
"Dora, a security administrator, is configuring access for a new employee in the manufacturing department. She ensures access to the manufacturing area while excluding access to the parts storage area. What best describes the principle Dora is applying?
1. Principle of authentication
2. Two-person rule
3. Need to know
4. Least privilege",답변: 4
"Which statement best describes the relationship between subjects, objects, and rules?
1. A subject is granted access to an object based on rules
2. An object is granted access to a subject based on credentials
3. A subject grants access to an object based on rules
4. An object is granted access to a subject based on rules",답변: 1
"Credentials are composed of which of the following elements?
1. Something you know and something you have
2. Username and password
3. PIN code + certificate 
4. All of the above",답변: 4
"Joe has to log in to many systems on a daily basis and has too many passwords to remember. What is the best way for Joe to manage his passwords?
1. Use a password manager or password vault software
2. Store the passwords in a text file and store it in a safe place
3. Write the passwords down on a piece of paper
4. Use the same password for every system so he only has to remember one password",답변: 1
"Sarah has been an employee of IBM for over 10 years. During that time, she has been able to access more and more systems. Now she has access to systems she doesn’t even need access to in order to do her job. This is an example of what type of situation?
1. Privileged access management
2. Privilege creep
3. Access management
4. Privilege modification",답변: 2
"The identity and access management lifecycle consists of which steps?
1. Setup, review, auditing
2. Provisioning, review, revocation
3. Identification, authentication, authorization
4. Creation, monitoring, termination",답변: 2
"Which of the following access control models leverages roles to provision access, where users with similar access needs are assigned to the same role?
1. MAC
2. None of the above
3. RBAC
4. DAC",답변: 3
