Question,Answer
"다음 중 데이터 보호 규정을 준수하기 위해 기업이 일반적으로 구현하는 조치는 무엇입니까?\n1. 정기적 인 네트워크 침투 테스트\n2. 데이터 최소화 원칙을 설정하고 필요한 개인 데이터 만 수집합니다.\n3. 웹 사이트에서 추적 할 수없는 쿠키를 사용하십시오\n4. 국경 간 데이터 전송을 완전히 피하십시오","답변: 2"
"GDPR에 따르면 개인 데이터의 권리와 이익과 관련하여 데이터 주제는 다음과 같습니다.\n1. 언제든지 개인 데이터에 액세스, 수정 또는 삭제 요청\n2. 모든 데이터 처리 활동은 금지됩니다\n3. 조직이 모든 데이터 처리 활동의 세부 정보를 공개하도록 요구합니다.\n4. 조직에 모든 데이터 처리 활동에 대한 관심을 우선시하도록 요청합니다.","답변: 1"
"중화 인민 공화국의 데이터 보안법에 따르면 데이터 처리 활동을 수행 할 때 데이터 프로세서가 따라야 할 주요 원칙은 무엇입니까?\n1. 데이터의 자유 흐름의 원리\n2. 데이터 최소화 원리\n3. 데이터 보안 보호의 원칙\n4. 데이터에 대한 비즈니스 이익을 극대화하는 원칙","답변: 3"
"다음 중 고위 경영진이 조직 내에서 실제로 발생하는 컴퓨터 및 정보 보안 결정에 책임이있는 방법은 무엇입니까?\n1. 1987 년 컴퓨터 보안법.\n2. 1991 년 연방 선고 지침.\n3. 1996 년 경제 스파이 행위.\n4. 1986 년 컴퓨터 사기 및 학대법.","답변: 2"
"개인 정보 보호법에 따르면, 사용자 개인 정보를 보호하기 위해 개인 정보를 처리 할 때 따라야하는 다음 조치 중 어떤 조치는 무엇입니까?\n1. 데이터 암호화는 전송 및 스토리지 동안 개인 정보의 보안을 보장합니다.\n2.보다 개인화 된 서비스를 제공하기 위해 가능한 한 모든 사용자 정보를 수집하고 저장하십시오.\n3. 사용자가 자신의 재량에 따라 수락할지 여부를 결정할 수 있도록 모든 수집 된 개인 정보를 공개하십시오.\n4. 사용자의 동의없이 개인 정보를 제 3 자에게 전송합니다.","답변: 1"
"데이터 보안법에서 상황이 특히 심각한 경우 가능한 선고 표준은 다음과 같습니다.\n1. 구금\n2. 3 년 미만의 금융 투옥\n3. 3 년 이상 징역형 7 년을 초과하지 않았습니다.\n4. 7 년 이상의 문장","답변: 3"
"다음 중 유럽\n1. 사용자는 개인 데이터에 액세스하고 제어 할 권리가 있습니다.\n2. 조직은 데이터 위반이 발생한 후 영향을받는 개인에게 즉시 알려야합니다.\n3. 데이터 처리 활동을 감독하기 위해 데이터 보호 책임자 (DPO) 설정\n4. 사용자가 개인 정보를 팔지 않도록 선택할 수 있습니다.","답변: 3"
"지적 재산권 법에 따라 회사가 비밀을 유지하는 정보를 경쟁 업체보다 우위에 부여하는 정보를 무엇이라고 부르겠습니까?\n1. 저작권\n2. 특허\n3. 상표\n4. 영업 비밀","답변: 4"
"중국 인민 공화국의 사이버 보안법은 () 부서가 네트워크에 큰 보안 위험이 있거나 보안 사고가 네트워크 보안 감독 및 관리 업무의 실적에서 발생한다고 판결하면 규정 된 권한 및 절차에 따라 네트워크 운영자를 담당하는 법적 대표 또는 주요 직원을 인터뷰 할 수 있다고 규정하고 있습니다.네트워크 운영자는 요구 사항에 따라 정류를하고 숨겨진 위험을 제거하기위한 조치를 취해야합니다.\n1. 카운티 수준 이상의 인민 정부\n2. 시정 수준 이상의 사람들의 정부\n3. 지방 차원 이상의 사람들의 정부\n4. 사이버 공간 정보 관리","답변: 3"
"다음 중 데이터 유출에 직면 할 때 법적 준수 요구 사항을 충족하는 행동은 무엇입니까?\n1. 영향을받는 모든 개인에게 즉시 알리십시오\n2. 사립 조사, 그런 다음 영향 범위를 결정한 후 규제 당국에 통지합니다.\n3. 회사 내에서 고위 경영진에게만 알립니다\n4. 규제 기관이 발견하고 통보 할 때까지 기다립니다","답변: 1"
"""개인 정보 보호법""에 따르면, 다음 중 개인 정보 프로세서가 이행 해야하는 데이터 보안 보호 의무에 속하지 않습니까?\n1. 내부 관리 시스템 및 운영 절차를 공식화하십시오\n2. 개인 정보를 암호화합니다\n3. 직원들에게 정기적으로 개인 정보 보호 교육을 제공합니다\n4. 제한없이 제 3 자와 개인 정보를 공유하십시오","답변: 4"
"데이터 보안법에 따르면, 주요 데이터 보안 사고가있는 조직에는 다음을 포함하지 않을 수 있습니다.\n1. 경고와 벌금\n2. 비즈니스 활동 중단\n3. 라이센스 또는 비즈니스 라이센스를 취소합니다\n4. 직접 책임있는 사람의 형사 책임","답변: 4"
"ISO27001에 대한 가장 정확한 진술은 다음과 같습니다.\n1.이 표준의 주제는 정보 보안 관리 시스템을위한 구현 지침입니다.\n2.이 표준은 정보 보안 관리 시스템의 개발 및 구현을 측정하기위한 일련의 표준을 제공합니다.\n3.이 표준은 정보 보안 관리와 관련된 일련의 제어 조치 및 모범 사례를 제공합니다.\n4.이 표준은 정보 보안 관리 시스템을 설정, 구현, 운영, 모니터링, 감사, 유지 관리 및 개선하기위한 모델을 제공합니다.","답변: 4"
"개인 정보 보호법의 틀에 따라, 다음과 같은 처벌 중 개인 정보의 심각한 침해에 대한 처벌은 무엇입니까?\n1. 좋아요\n2. 고정 투옥\n3. 지역 사회 봉사\n4. 정치적 권리 박탈","답변: 3"
"개인 정보 보호법에 따르면 다음 중 정보 주제의 기본 권리 중 하나는 무엇입니까?\n1. 수집 된 모든 개인 데이터의 필수 공개\n2. 언제든지 개인 데이터 처리에 대한 취소 동의\n3. 회사에 개인 데이터를 삭제하도록 요청하지만 액세스 권한이 없습니다.\n4. 서비스 제공에서 필요한 경우에도 개인 데이터 공유를 금지합니다.","답변: 2"
"국경 간 데이터 전송을 처리 할 때 다음 중 데이터 개인 정보 보호 규정을 위반할 수있는 관행은 무엇입니까?\n1. 전송 전 익명 민감한 데이터\n2. 사용자의 동의없이 타사 서비스 제공 업체로 데이터를 전송\n3. 데이터 전송 중에 암호화 된 채널을 사용하십시오\n4. 사용자에게 개인 정보에 액세스하고 수정할 수있는 방법을 사용자에게 제공합니다.","답변: 2"
"다음 중 초 국가적 사이버 범죄 사례를 다룰 때 국제 법률 프레임 워크의 핵심 요소는 무엇이며 여러 국가의 법 집행 조치를 조정하는 데 사용됩니까?\n1. 세계 무역기구 협약\n2. 유럽 연합 데이터 보호 지침\n3. 초 국가적 조직 범죄에 대한 유엔 협약\n4. 국제 통신 연합 헌장","답변: 3"
"개인 정보 보호 정책을 수립 할 때 비즈니스가 일반적으로 포함 해야하는 조치가 아닌 것은 무엇입니까?\n1. 수집 및 사용 된 개인 정보의 유형\n2. 개인 정보의 공유 및 양도\n3. 사용자의 데이터에 액세스, 수정 및 삭제할 권리\n4. 회사의 모든 재무 기록","답변: 4"
"유럽 연합은 종종 개인 데이터의 프라이버시와 관련하여 세계 지도자로 간주되며 프라이버시를 ""인간의 권리""라고 선언했습니다.\n1995 년 1 월\n2000 년\n2010 년 3 월\n1999 년 4","답변: 1"
"국가 안보법에 규정 된 법적 책임의 주요 행동은 무엇입니까?\n1. 주 비밀이 새는 것\n2. 국가적 통일성을 약화시킨다\n3. 국가 안보를 위험에 빠뜨리십시오\n4. 모든 옵션이 정확합니다","답변: 4"
"국가 안보법에 따라 어떤 척도가 전형적인 대테러 전략이 아닌가?\n1. 지능 공유 및 분석\n2. 국경 보안 통제\n3. 테러 자금 조달을 방지하기위한 네트워크 모니터링\n4. 대규모 공개 시위의 승인 및 규제","답변: 4"
"데이터 보안법에 따르면, 다음 중 데이터 보안 관리 시스템을 구축 할 때 조직의 주요 고려 사항은 무엇입니까?\n1. 포괄적 인 데이터 암호화 기술 구현\n2. 데이터 분류 및 채점 시스템을 설정하십시오\n3 모든 직원이 데이터 보안 교육을 받도록하십시오\n4. 일반 데이터 백업 및 복구 드릴","답변: 2"
"데이터 보안법에서 데이터 처리 활동을 수행하는 조직 또는 개인 이이 법의 관련 조항에 규정 된 데이터 보안 보호 의무를 이행하지 못하는 경우 ().\n1. 관련 관할 당국은 교정을 명령해야한다\n2. 경고를하십시오\n3. RMB 50,000 이상의 벌금과 RMB 500,000 이하\n4. RMB 100,000 이상의 벌금과 RMB 500,000 이하","~ 안으로"
"""개인 정보 보호법""에 따르면, 다음 원칙 중 개인 정보 프로세서가 개인 정보를 처리하기 전에 정보 처리의 목적, 방법 및 범위를 개인에게 알리고 개인의 동의를 얻도록 요구하는 것은 무엇입니까?\n1. 합법성의 원칙\n2. 목적의 제한 원리\n3. 데이터 최소화 원리\n4. 사전 동의의 원칙","답변: 4"
"다음 중 데이터 보안 관련 소송 프로세스에서 필요한 단계는 무엇입니까?\n1. 케이스를 제출하십시오\n2. 조사\n3. 중재\n4. 제 2 차 판단","답변: 3"
"다음 프로토콜 중 일반적으로 국경 간 데이터 전송에서 GDPR 요구 사항을 준수하는 데 사용되는 요법은 무엇입니까?\n1. EU-US 개인 정보 보호 방패\n2. 표준 계약 조건\n3. 다자간 데이터 전송 프로토콜\n4. 내부 EU 전송 만","답변: 2"
"데이터 처리 프로세스 중에 데이터 프로세서는 다음 중 어떤 원리를 보장해야합니까?\n1. 데이터 프로세서는 마음대로 개인 정보를 처리 할 수 있습니다\n2. 데이터 처리는 합법성, 합법성 및 필요성의 원칙을 따라야합니다.\n3. 데이터 프로세서는 데이터 처리의 투명성을 결정할 권리가 있습니다.\n4. 데이터 프로세서는 데이터 과목에 대한 사법 구호를 제공하지 않을 수 있습니다.","답변: 2"
"GDPR (European General Data Protection Regulation)에 따라 사용자 개인 정보 보호를 보호하기 위해 모바일 애플리케이션 개발자가 무엇을 제공해야합니까?\n1. 데이터 암호화 및 익명화 처리\n2. 명확한 개인 정보 보호 정책 및 사용자 동의 메커니즘\n3. 필요한 데이터 만 수집하고 데이터가 최소화되도록하십시오.\n4. 위의 모든 옵션","답변: 4"
"National Internet Information Department는 네트워크 보안 작업 및 관련 감독 및 관리 작업을 조정하는 책임이 있습니다.() 사이버 보안법 및 관련 법률 및 행정 규정의 조항에 따라 각 책임 내에서 네트워크 보안 보호 및 감독 및 관리에 대한 책임이 있습니다.\n1. 국무원 통신 부서\n2. 공공 보안 부서\n3. 다른 관련 기관\n4. 정부 문제 센터","~ 안으로"
