Question,Answer
"현대 운영 체제의 IP ID가 일반적으로 무작위로 생성되는 이유는 무엇입니까?","보안을 개선하고 특정 유형의 사이버 공격을 방지합니다."
"ECA 기술은 기업이 내부자 위협으로부터 네트워크를 보호하는 데 어떻게 도움이됩니까?","ECA 기술은 기업이 내부 네트워크 트래픽의 특성을 분석하고 비정상적인 행동 및 잠재적 인 내부 위협을 식별하여 내부 네트워크 보안을 강화하는 데 도움이 될 수 있습니다."
"NMAP에서 프레임 감지를위한 최대 시간 간격을 설정하는 방법은 무엇입니까?","-Max-Scan-Delay <time>"
"Beast 및 Poodle과 같은 SSL \/TLS 프로토콜의 유명한 보안 취약점에 대해 논의하고 이러한 취약점이 어떻게 발생하는지 설명하고 프로토콜을 업데이트하거나 특정 완화 전략을 구현하여 이러한 공격을 방지하는 방법을 설명하십시오.","** 짐승 (SSL \\/TLS에 대한 브라우저 익스플로잇) **\nBeast (SSL \\/TLS에 대한 브라우저 익스플로잇)는 2011 년 SSL 3.0 및 TLS 1.0에서 CBC (Cipher Block Chaining) 모드 암호화의 약점을 이용하는 공격으로 발견 된 공격입니다.공격자는 JavaScript 코드를 중간 공격에 주입하여 동일한 HTTP 세션에서 다른 요청을 스니핑하여 민감한 정보를 얻을 수 있습니다.Beast는 주로 CBC 모드의 일관성 오류를 활용하여 공격자가 암호화 된 일반 텍스트를 예측하고 조작 할 수 있습니다.\n\n** 푸들 (다운 그레이드 레거시 암호화에 오라클 패딩) **\n푸들 취약성은 2014 년에 발견되었으며 SSL 3.0 프로토콜에서 취약성을 활용합니다.공격자는 클라이언트와 서버가 SSL 3.0으로 다운 그레이드하도록 강요 한 다음 CBC 모드 패딩 Oracle Attack을 사용하여 암호화 된 세션 쿠키 또는 기타 민감한 정보 바이트를 복구합니다.서버와 클라이언트가보다 안전한 TLS 프로토콜을 지원하더라도 공격자는이 다운 그레이드 공격을 사용하여 보안 보호를 우회 할 수 있습니다.\n\n** 이러한 공격을 방지하기위한 전술 **\n1. ** 업그레이드 프로토콜 버전 ** : SSL 3.0 사용을 피하고, TLS 1.1과 1.2가 짐승과 푸들 취약점을 수정했기 때문에 서버와 클라이언트가 TLS 1.2 이상을 사용하는지 확인하십시오.\n2. ** CBC 모드 비활성화 ** : 이것은 호환성에 영향을 줄 수 있지만, 특히 프로토콜 버전을 업그레이드 할 수없는 경우 임시 완화로 사용할 수 있습니다.\n3. ** HSTS (HTTP Strict Transmission Security) 사용 ** : HSTS는 브라우저가 안전하지 않은 프로토콜로 다운 그레이드를 수용하는 것을 방지 할 수 있습니다.\n4. ** 전방 보안 구현 ** : 이전에 전송 된 데이터는 키가 유출 되더라도 안전하게 유지되어야합니다."
"IPSG는 정보 유출을 방지하는 데 어떻게 도움이됩니까?","IPSG는 검증 된 호스트 만 네트워크에 액세스 할 수 있도록함으로써 무단 데이터 액세스 및 정보 유출을 방지합니다."
"암호화 된 커뮤니케이션에서 TLS 프로토콜은 어떻게 데이터의 무결성과 기밀성을 보장합니까?그것이 어떻게 작동하는지 설명하고 실제 응용 프로그램의 예를 들어주십시오.","TLS 프로토콜은 암호화 알고리즘과 메시지 인증 코드를 결합하여 데이터의 무결성과 기밀성을 보장합니다.TLS 핸드 셰이크 중에 클라이언트와 서버는 먼저 비대칭 암호화를 사용하여 세션 키를 협상합니다.이 키는 비공개이며 네트워크에서 일반 텍스트를 전송하지 않으므로 보안을 보장합니다.그런 다음 양 당사자는이 공유 세션 키를 AES와 같은 대칭 암호화에 사용하여 전송 된 데이터를 암호화하여 데이터의 기밀성을 달성합니다.\n\n데이터 무결성을 보장하기 위해 TLS는 전송 중에 수신 된 데이터가 변조되었는지 여부를 확인하기 위해 메시지 인증 코드 (MAC)를 생성합니다.암호화 된 각 데이터 블록에서 MAC가 첨부되고 수신기는 MAC를 재 계산하여 수신 된 MAC과 비교하여 데이터의 무결성을 확인합니다.\n\n실제 애플리케이션의 예는 웹 브라우저와 서버 간의 TLS 프로토콜을 사용하는 HTTPS입니다.HTTPS 웹 사이트를 방문하면 브라우저 및 서버는 TLS 핸드 셰이크, 교환 세션 키, 모든 후속 페이지 컨텐츠, 양식 데이터 등을 수행하여 검증 및 검증되어 브라우징 및 상호 작용 정보가 도둑 맞지 않도록합니다."
"HTTP 납치 공격은 무엇입니까?","HTTP 납치는 공격자가 사용자와 웹 서버 간의 커뮤니케이션을 통해 민감한 정보를 훔치거나 악의적 인 작업을 수행하거나 속이는 사용자를 제어하는 공격 방법입니다."
"IPSG 기술이 네트워크의 서비스 품질 (QOS)에 영향을 미칩니 까?","정상적인 상황에서 IPSG는 주로 데이터 링크 계층에서 작동하기 때문에 네트워크의 QOS에 거의 영향을 미치지 않으며 메시지 필터링 프로세스는 장비 자원이 적습니다."
"네트워크 트래픽을 모니터링하기 위해 침입 탐지 시스템 (IDS)을 설계한다고 가정 해 봅시다.비정상적인 행동 탐지 방법을 통해 잠재적 공격을 식별하는 방법을 설명하십시오.특정 시나리오를 제공하고 IDS 가이 시나리오의 예외를 인식하고 응답하는 방법을 설명하십시오.","네트워크 환경에서 일반적으로 직원이 뉴스 및 이메일과 같은 근무 시간 동안 내부 리소스 및 일부 외부 웹 사이트에 액세스한다고 가정합니다.IDS는 이러한 패턴을 학습하여 기준을 설정합니다.\n\n이제 사용자가 밤 늦게 많은 맬웨어 관련 도메인 이름에 액세스하기 시작하는 시나리오가 있습니다.IDS는 트래픽 패턴을 분석하고 이러한 도메인에 대한 심야 액세스가 이전에 확립 된 기준선과 일치하지 않기 때문에 이러한 비정상적인 활동을 찾습니다.다음 예외를 감지 할 수 있습니다.\n- 활동 시간이 아닌 활동\n- 비 전통적인 도메인 이름 액세스\n- 고주파 요청\n\n이 경우 IDS는 경보를 유발하고 사전 설정 정책으로 네트워크 액세스를 차단하여 잠재적 악성 활동이 전체 네트워크에 영향을 미치지 않도록합니다.동시에 보안 팀은 사용자 장비에 대한 추가 조사를 수행하기위한 알림을받습니다."
"세 가지 유형의 사이버 공격 (예 : DDOS 공격, SQL 주입, 사회 공학)을 나열하고 설명하고 각 공격에 대한 실용적인 방어 전략을 제공하십시오.","1. DDOS 공격 : 방어 정책에는 CloudFlare 또는 Akamai와 같은 DDOS 보호 서비스 사용이 포함되어있어 비정상적인 트래픽을 걸러 내고 공격을 분산시킬 수 있습니다.또한 큰 트래픽을 처리하기 위해 네트워크 인프라를 최적화하는 것도 중요한 예방 조치입니다.\n\n2. SQL 주입 : 응용 프로그램은 악의적 인 입력 실행을 방지하기 위해 사전 컴파일 된 SQL 문 및 매개 변수화 쿼리를 사용해야합니다.정기적 인 업데이트 및 패치 데이터베이스 관리 시스템과 코딩을 보호하기위한 교육 개발자도 SQL 주입을 방지하는 데 핵심입니다.\n\n3. 사회 공학 : 직원 안전 인식 교육은 사회 공학 공격을 예방하는 주요 단계입니다.직원이 미확인 이메일, 전화 사기 또는 내부 인원으로 위장한 것과 같은 잠재적 사기를 식별하고보고하도록 교육하십시오.또한 엄격한 액세스 제어 및 다단계 인증을 구현하면 추가 보안 계층이 추가 될 수 있습니다."
